Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-04-22 00:00:00+09:00,40830.0,40990.0,40830.0,40990.0,70,0.0,0.0,0.0
2025-04-23 00:00:00+09:00,41100.0,41580.0,41000.0,41390.0,113,0.0,0.0,0.0
2025-04-24 00:00:00+09:00,41390.0,41580.0,41300.0,41540.0,154,0.0,0.0,0.0
2025-04-25 00:00:00+09:00,41610.0,41710.0,41610.0,41700.0,53,0.0,0.0,0.0
2025-04-28 00:00:00+09:00,41700.0,41700.0,41380.0,41410.0,29,0.0,0.0,0.0
2025-04-30 00:00:00+09:00,41700.0,41700.0,41050.0,41250.0,31,0.0,0.0,0.0
2025-05-01 00:00:00+09:00,41100.0,41760.0,41100.0,41740.0,16,0.0,0.0,0.0
2025-05-02 00:00:00+09:00,41750.0,42200.0,41100.0,41990.0,284,0.0,0.0,0.0
2025-05-07 00:00:00+09:00,42000.0,42600.0,41730.0,41730.0,249,0.0,0.0,0.0
2025-05-08 00:00:00+09:00,41660.0,42360.0,41660.0,42300.0,97,0.0,0.0,0.0
2025-05-09 00:00:00+09:00,42880.0,42880.0,42500.0,42540.0,285,0.0,0.0,0.0
2025-05-12 00:00:00+09:00,42990.0,43400.0,42950.0,43290.0,263,0.0,0.0,0.0
2025-05-13 00:00:00+09:00,44220.0,44250.0,43950.0,44060.0,237,0.0,0.0,0.0
2025-05-14 00:00:00+09:00,43950.0,44500.0,43350.0,44500.0,418,0.0,0.0,0.0
2025-05-15 00:00:00+09:00,44230.0,44300.0,43780.0,43780.0,371,0.0,0.0,0.0
2025-05-16 00:00:00+09:00,44000.0,44000.0,43350.0,43480.0,98,0.0,0.0,0.0
2025-05-19 00:00:00+09:00,43220.0,43370.0,42600.0,43370.0,69,0.0,0.0,0.0
2025-05-20 00:00:00+09:00,43650.0,43700.0,43010.0,43110.0,98,0.0,0.0,0.0
2025-05-21 00:00:00+09:00,43550.0,43550.0,43110.0,43300.0,12,0.0,0.0,0.0
2025-05-22 00:00:00+09:00,43110.0,43250.0,42920.0,43020.0,42,0.0,0.0,0.0
