Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-04-22 00:00:00+09:00,2644.0,2659.0,2639.0,2654.0,500287,0.0,0.0,0.0
2025-04-23 00:00:00+09:00,2721.0,2722.0,2697.0,2712.0,225249,0.0,0.0,0.0
2025-04-24 00:00:00+09:00,2738.0,2738.0,2713.0,2718.0,160707,0.0,0.0,0.0
2025-04-25 00:00:00+09:00,2740.0,2767.0,2740.0,2760.0,360124,0.0,0.0,0.0
2025-04-28 00:00:00+09:00,2780.0,2797.0,2776.0,2779.0,340652,0.0,0.0,0.0
2025-04-30 00:00:00+09:00,2797.0,2804.0,2781.0,2798.0,297648,0.0,0.0,0.0
2025-05-01 00:00:00+09:00,2801.0,2816.0,2789.0,2808.0,324255,0.0,0.0,0.0
2025-05-02 00:00:00+09:00,2817.0,2837.0,2810.0,2822.0,593026,0.0,0.0,0.0
2025-05-07 00:00:00+09:00,2832.0,2840.0,2817.0,2825.0,218170,0.0,0.0,0.0
2025-05-08 00:00:00+09:00,2829.0,2836.0,2807.0,2836.0,425257,0.0,0.0,0.0
2025-05-09 00:00:00+09:00,2864.0,2873.0,2855.0,2864.0,329365,0.0,0.0,0.0
2025-05-12 00:00:00+09:00,2880.0,2881.0,2858.0,2880.0,183283,0.0,0.0,0.0
2025-05-13 00:00:00+09:00,2930.0,2934.0,2908.0,2911.0,1198673,0.0,0.0,0.0
2025-05-14 00:00:00+09:00,2907.0,2909.0,2870.0,2897.0,431084,0.0,0.0,0.0
2025-05-15 00:00:00+09:00,2875.0,2885.0,2865.0,2872.0,66466,0.0,0.0,0.0
2025-05-16 00:00:00+09:00,2881.0,2881.0,2859.0,2874.0,100521,0.0,0.0,0.0
2025-05-19 00:00:00+09:00,2871.0,2880.0,2866.0,2872.0,92326,0.0,0.0,0.0
2025-05-20 00:00:00+09:00,2890.0,2896.0,2868.0,2873.0,210317,0.0,0.0,0.0
2025-05-21 00:00:00+09:00,2884.0,2889.0,2866.0,2868.0,106806,0.0,0.0,0.0
2025-05-22 00:00:00+09:00,2848.0,2860.0,2840.0,2848.0,120125,0.0,0.0,0.0
