Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-04-22 00:00:00+09:00,1310.0,1320.5,1310.0,1316.5,16610,0.0,0.0,0.0
2025-04-23 00:00:00+09:00,1346.5,1360.0,1343.5,1350.5,6020,0.0,0.0,0.0
2025-04-24 00:00:00+09:00,1373.0,1379.0,1366.5,1369.0,16970,0.0,0.0,0.0
2025-04-25 00:00:00+09:00,1387.5,1402.0,1383.5,1402.0,7290,0.0,0.0,0.0
2025-04-28 00:00:00+09:00,1414.0,1423.0,1410.5,1414.0,16110,0.0,0.0,0.0
2025-04-30 00:00:00+09:00,1429.5,1434.0,1415.0,1418.0,10480,0.0,0.0,0.0
2025-05-01 00:00:00+09:00,1432.5,1432.5,1416.5,1420.5,6010,0.0,0.0,0.0
2025-05-02 00:00:00+09:00,1442.0,1445.5,1430.5,1439.0,11530,0.0,0.0,0.0
2025-05-07 00:00:00+09:00,1436.0,1445.5,1430.0,1439.0,24420,0.0,0.0,0.0
2025-05-08 00:00:00+09:00,1443.5,1443.5,1421.5,1435.0,5290,0.0,0.0,0.0
2025-05-09 00:00:00+09:00,1443.5,1452.0,1441.5,1441.5,12110,0.0,0.0,0.0
2025-05-12 00:00:00+09:00,1456.5,1459.0,1440.0,1448.5,11130,0.0,0.0,0.0
2025-05-13 00:00:00+09:00,1480.0,1490.0,1459.0,1459.0,9540,0.0,0.0,0.0
2025-05-14 00:00:00+09:00,1483.0,1483.0,1460.0,1465.5,5330,0.0,0.0,0.0
2025-05-15 00:00:00+09:00,1453.5,1471.0,1452.0,1454.5,1540,0.0,0.0,0.0
2025-05-16 00:00:00+09:00,1465.0,1465.0,1450.0,1455.5,19310,0.0,0.0,0.0
2025-05-19 00:00:00+09:00,1450.5,1461.0,1450.5,1461.0,4550,0.0,0.0,0.0
2025-05-20 00:00:00+09:00,1465.0,1476.5,1465.0,1468.0,2300,0.0,0.0,0.0
2025-05-21 00:00:00+09:00,1466.5,1479.0,1458.5,1461.5,3600,0.0,0.0,0.0
2025-05-22 00:00:00+09:00,1455.0,1455.0,1443.5,1453.0,4680,0.0,0.0,0.0
