Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-22 00:00:00+09:00,6618.0,6705.0,6587.0,6659.0,4967000,0.0,0.0
2025-04-23 00:00:00+09:00,6909.0,6922.0,6778.0,6803.0,6651200,0.0,0.0
2025-04-24 00:00:00+09:00,6959.0,7070.0,6953.0,7020.0,8075000,0.0,0.0
2025-04-25 00:00:00+09:00,7229.0,7238.0,7145.0,7223.0,7323200,0.0,0.0
2025-04-28 00:00:00+09:00,7267.0,7280.0,7170.0,7170.0,4785300,0.0,0.0
2025-04-30 00:00:00+09:00,7177.0,7233.0,7119.0,7164.0,5679400,0.0,0.0
2025-05-01 00:00:00+09:00,7194.0,7392.0,7177.0,7315.0,7444500,0.0,0.0
2025-05-02 00:00:00+09:00,7389.0,7456.0,7331.0,7405.0,6960300,0.0,0.0
2025-05-07 00:00:00+09:00,7450.0,7487.0,7386.0,7415.0,6199000,0.0,0.0
2025-05-08 00:00:00+09:00,7231.0,7294.0,7191.0,7238.0,6719100,0.0,0.0
2025-05-09 00:00:00+09:00,7499.0,7499.0,7382.0,7419.0,7707600,0.0,0.0
2025-05-12 00:00:00+09:00,7489.0,7548.0,7467.0,7507.0,5023300,0.0,0.0
2025-05-13 00:00:00+09:00,7807.0,7834.0,7600.0,7600.0,7391900,0.0,0.0
2025-05-14 00:00:00+09:00,7950.0,8044.0,7805.0,7896.0,11849400,0.0,0.0
2025-05-15 00:00:00+09:00,7820.0,7884.0,7771.0,7812.0,6110900,0.0,0.0
2025-05-16 00:00:00+09:00,7714.0,7799.0,7684.0,7729.0,5123000,0.0,0.0
2025-05-19 00:00:00+09:00,7611.0,7675.0,7571.0,7579.0,5136800,0.0,0.0
2025-05-20 00:00:00+09:00,7648.0,7711.0,7568.0,7599.0,5728700,0.0,0.0
2025-05-21 00:00:00+09:00,7638.0,7648.0,7542.0,7546.0,4675200,0.0,0.0
2025-05-22 00:00:00+09:00,7463.0,7528.0,7415.0,7462.0,4815100,0.0,0.0
