Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-22 00:00:00+09:00,2458.5,2485.0,2440.0,2459.0,19734000,0.0,0.0
2025-04-23 00:00:00+09:00,2561.0,2590.0,2535.0,2582.0,34123500,0.0,0.0
2025-04-24 00:00:00+09:00,2627.0,2718.0,2619.0,2657.5,41886200,0.0,0.0
2025-04-25 00:00:00+09:00,2699.5,2712.0,2671.5,2690.0,29523200,0.0,0.0
2025-04-28 00:00:00+09:00,2724.5,2841.0,2719.0,2786.5,54204400,0.0,0.0
2025-04-30 00:00:00+09:00,2795.5,2801.0,2729.0,2729.0,41601700,0.0,0.0
2025-05-01 00:00:00+09:00,2727.0,2752.5,2708.5,2751.0,19049400,0.0,0.0
2025-05-02 00:00:00+09:00,2798.0,2822.0,2773.0,2780.0,36047900,0.0,0.0
2025-05-07 00:00:00+09:00,2760.5,2761.0,2702.0,2706.0,29981600,0.0,0.0
2025-05-08 00:00:00+09:00,2706.0,2740.0,2632.5,2671.5,47881900,0.0,0.0
2025-05-09 00:00:00+09:00,2750.0,2756.5,2685.5,2719.5,37497400,0.0,0.0
2025-05-12 00:00:00+09:00,2726.0,2758.0,2718.5,2753.5,20208500,0.0,0.0
2025-05-13 00:00:00+09:00,2853.5,2879.5,2846.0,2850.0,35248400,0.0,0.0
2025-05-14 00:00:00+09:00,2830.0,2832.5,2731.0,2749.5,24974000,0.0,0.0
2025-05-15 00:00:00+09:00,2709.0,2718.0,2647.0,2657.0,31659600,0.0,0.0
2025-05-16 00:00:00+09:00,2642.0,2652.0,2598.0,2642.5,23825700,0.0,0.0
2025-05-19 00:00:00+09:00,2642.5,2695.0,2621.5,2665.0,19721400,0.0,0.0
2025-05-20 00:00:00+09:00,2724.5,2727.5,2649.5,2672.5,25009100,0.0,0.0
2025-05-21 00:00:00+09:00,2700.0,2700.0,2662.0,2662.5,20330200,0.0,0.0
2025-05-22 00:00:00+09:00,2633.0,2634.5,2612.0,2620.0,19413100,0.0,0.0
